Tour Code,Tour Name,Tour Duration,Tour Destinations,Image URL,Details URL
TN-03,Kashi Yatra,02N | 03D,"Varanasi Temple Tour, Sarnath & Ganga Aarti",https://i.postimg.cc/Qtm7TBDv/ratneshwar-mahadev-kashi-karvat-leaning-temple-varanasi.jpg,#
TN-06,Divine Ayodhya & Lucknow,03N | 04D,Lucknow - Ayodhya,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
TN-07,Krishna Janmabhoomi & Agra,03N | 04D,Agra - Mathura - Vrindavan,https://i.postimg.cc/mrjHJcnV/c7.jpg,#
TN-10,Kashi & Ayodhya Yatra,03N | 04D,Varanasi (Kashi) - Ayodhya,https://i.postimg.cc/658fZhPK/Untitled.png,#
